rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Interns and Residents (FTE),Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Hospital Total Days Title V For Adults & Peds,Hospital Total Days Title XVIII For Adults & Peds,Hospital Total Days Title XIX For Adults & Peds,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds,Hospital Number of Beds For Adults & Peds,Hospital Total Bed Days Available For Adults & Peds,Hospital Total Discharges Title V For Adults & Peds,Hospital Total Discharges Title XVIII For Adults & Peds,Hospital Total Discharges Title XIX For Adults & Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Land,Land Improvements,Buildings,Leasehold Improvements,Fixed Equipment,Major Movable Equipment,Minor Equipment Depreciable,Health Information Technology Designated Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,DRG Amounts Other Than Outlier Payments,DRG Amounts Before October 1,DRG Amounts After October 1,Outlier Payments For Discharges,Disproportionate Share Adjustment,Allowable DSH Percentage,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges,Net Revenue from Stand-Alone CHIP,Stand-Alone CHIP Charges,year,PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,CHOW_CNT,CHOW_DT,FIPS_STATE_CD,FIPS_CNTY_CD,CBSA_URBN_RRL_IND,CBSA_CD,OVRRD_BED_CNT_SW,CRTFD_BED_CNT,MLT_OWND_FAC_ORG_SW,PGM_PRTCPTN_CD,operating_margin,net_margin,liquidity,leverage,avg_los,occupancy_rate,payor mix,uncomp_care_ratio,resident_bed_ratio,distress_A,neg_margin,neg_margin_roll,neg_margin_yrs,distress_B
766138,440032,HAWKINS COUNTY MEMORIAL HOSPITAL,851 LOCUST ST,ROGERSVILLE,TN,37857-,HAWKINS,28700.0,U,STH,1,2,2020-07-01,2021-06-30,67.85,,,113.0,13.0,352.0,25.0,9125.0,,56.0,,155.0,25.0,,104.0,13.0,328.0,19.0,6935.0,,56.0,,155.0,1099740.0,1647574.0,1415148.0,4072469.0,4532265.0,7411937.0,739180.0,10543124.0,2915993.0,53845851.0,56761844.0,893871.0,,3995891.0,,,,443088.0,,,7231336.0,-6042747.0,236713.0,30177.0,,1837771.0,30500.0,460298.0,9276694.0,161642.0,,8269873.0,,,2728015.0,,44084.0,44084.0,4609870.0,621041.0,745544.0,,9616.0,,,2935117.0,,34167.0,,98609.0,132776.0,3067893.0,1541977.0,1541977.0,4609870.0,,38053.0,247099.0,,4164.0,0.0584,,,2889373.0,53872471.0,56761844.0,46920348.0,9841496.0,11944202.0,-2102706.0,8218461.0,6115755.0,,6115755.0,0.185743,-2358455.0,2712324.0,,,2020,1.0,1,2.0,,47.0,73.0,U,28700.0,N,50.0,,3.0,-0.21365715131114213,0.6214253402125043,0.6261321098954488,0.6655053179373822,2.270967741935484,0.019287671232876714,-0.2396439525047818,0.13422473263142878,,0,1,2.0,True,0
771231,110135,TAYLOR REGIONAL HOSPITAL,222 PERRY HIGHWAY,HAWKINSVILLE,GA,31036-6748,PULASKI,99911.0,R,STH,1,2,2022-04-01,2023-03-31,203.09,,,1018.0,217.0,2999.0,49.0,17885.0,,253.0,51.0,778.0,151.0,,662.0,101.0,1898.0,43.0,15695.0,,253.0,51.0,778.0,897320.0,3455715.0,2488296.0,2552407.0,15370437.0,17929895.0,861975.0,26822599.0,15775240.0,41894806.0,57670046.0,1841408.0,78171.0,15370437.0,,,,329521.0,53175.0,,16725422.0,-12744759.0,293685.0,,724902.0,7466025.0,515206.0,163559.0,24367270.0,,,14340616.0,,1933388.0,16066421.0,202120.0,2400000.0,2602120.0,26134566.0,6691923.0,1422525.0,,2192725.0,41866.0,54705.0,10687220.0,,5891015.0,,,5891015.0,16578235.0,9556331.0,9556331.0,26134566.0,,768335.0,926711.0,,16230.0,0.0383,,,15774238.0,46808032.0,62582270.0,38617269.0,23965001.0,33300332.0,-9335331.0,9704496.0,369165.0,,369165.0,0.465105,1388860.0,4863109.0,28833.0,127594.0,2022,1.0,1,0.0,,13.0,235.0,R,47580.0,N,55.0,,3.0,-0.38954018821029884,0.01540433901922224,0.698593740935435,0.6343413164006626,3.854755784061697,0.14938978829389787,0.057953680035314835,0.09276863886307214,,0,1,2.0,True,0
753728,490038,SMYTH COUNTY COMMUNITY HOSPITAL,245 MEDICAL PARK DRIVE,MARION,VA,24354,SMYTH,99949.0,R,STH,1,2,2021-07-01,2022-06-30,150.22,,,1345.0,55.0,3923.0,30.0,10950.0,,391.0,15.0,1138.0,152.0,,1220.0,50.0,3576.0,26.0,9490.0,,391.0,15.0,1138.0,695124.0,2068625.0,1117610.0,1509439.0,15858633.0,31896950.0,4194497.0,43507533.0,59979993.0,166962396.0,226942389.0,2363442.0,39969.0,14110276.0,70122.0,,,80360.0,,,22550761.0,-17400490.0,977952.0,1431.0,,7533198.0,2084648.0,742820.0,57476971.0,63400.0,,56212288.0,,,48812532.0,2670406.0,586438.0,3256844.0,59602574.0,2519651.0,1957212.0,,216606.0,11896.0,,7833422.0,,15581854.0,,657269.0,16239123.0,24072545.0,35530029.0,35530029.0,59602574.0,,824979.0,2170236.0,,64697.0,0.0864,,,84827688.0,142122588.0,226950276.0,175828103.0,51122173.0,47755583.0,3366590.0,5959201.0,9325791.0,,9325791.0,0.191712,3561579.0,49458212.0,,,2021,1.0,1,2.0,,51.0,173.0,R,99949.0,N,170.0,,3.0,0.06585381259126055,0.18242164706105118,0.9616739657329836,0.40388431882153275,3.4472759226713534,0.0632232070910556,0.06966798926954847,0.02568773550088441,,0,0,1.0,False,0
794987,390026,CHESTNUT HILL HOSPITAL,8835 GERMANTOWN AVENUE,PHILADELPHIA,PA,19118-,PHILADELPHIA,37964.0,U,STH,1,2,2023-09-02,2024-06-30,451.21,59.72,,9062.0,229.0,25487.0,128.0,38784.0,,1756.0,68.0,5100.0,148.0,,8206.0,229.0,23040.0,114.0,34542.0,,1756.0,68.0,5100.0,1913054.0,180349.0,1976176.0,7045545.0,45470888.0,84384092.0,2088414.0,111875518.0,787248148.0,753226866.0,1540475014.0,9326334.0,,45470888.0,3901086.0,,551017.0,5426332.0,,,97057636.0,-79329918.0,1884301.0,303552.0,27200357.0,54739447.0,6975000.0,503875.0,21781658.0,,583851.0,5411134.0,,,31666479.0,,2741060.0,2741060.0,89146986.0,4507447.0,3673707.0,1132693.0,70032.0,1000000.0,66632126.0,77443470.0,,,,7152981.0,7152981.0,84596451.0,4550535.0,4550535.0,89146986.0,,1471805.0,16423594.0,,388330.0,0.0868,15277259.0,4090137.0,787248148.0,753226865.0,1540475013.0,1423760366.0,116714647.0,129854980.0,-13140333.0,1402133.0,-11738200.0,,-11738200.0,0.072624,14877490.0,274659327.0,,,2023,1.0,1,4.0,20230902.0,42.0,101.0,U,37964.0,N,134.0,,3.0,-0.11258512395620748,-0.10057178170619836,0.7068310213888918,0.9489546960118203,4.9974509803921565,0.5210999795542833,0.12746891998910814,0.017664061229195827,0.4456716417910448,0,1,2.0,True,0
744045,141344,LAWRENCE COUNTY MEMORIAL HOSPITAL,2100 STATE STREET,LAWRENCEVILLE,IL,62439,LAWRENCE,99914.0,R,CAH,1,2,2020-07-01,2021-06-30,123.1,,,986.0,75.0,1186.0,25.0,9125.0,,141.0,24.0,185.0,25.0,,538.0,75.0,681.0,25.0,9125.0,,141.0,24.0,185.0,992725.0,842624.0,1438018.0,2046938.0,8691032.0,10820497.0,741308.0,19722769.0,3421302.0,32075535.0,35496837.0,,,,,,,11529544.0,328331.0,,7148503.0,-4812923.0,354524.0,713948.0,,15261927.0,20150.0,571703.0,9538808.0,,512010.0,3967556.0,,1261695.0,5607130.0,94675.0,,94675.0,20963732.0,1257993.0,1287240.0,,691068.0,2319752.0,2496721.0,8052774.0,,372437.0,,,372437.0,8425211.0,12538521.0,12538521.0,20963732.0,,,,,,,,,3492911.0,34034106.0,37527017.0,19691318.0,17835699.0,19511529.0,-1675830.0,3790482.0,2114652.0,1725.0,2112927.0,0.55562,3851965.0,8028661.0,,,2020,11.0,1,1.0,20110701.0,17.0,101.0,R,99914.0,N,25.0,,3.0,-0.09395931160309444,0.11846617281442123,1.8952384606844797,0.4018946149473767,6.410810810810811,0.12997260273972602,0.2159693881355589,0.07291156733620924,,0,1,2.0,True,0
757501,140054,MACNEAL HOSPITAL,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,,99914.0,R,STH,1,1,2022-07-01,2023-06-30,1249.83,100.04,,9007.0,2725.0,40623.0,266.0,97090.0,,1865.0,3353.0,9622.0,325.0,,8003.0,2725.0,35364.0,249.0,90885.0,,1865.0,3353.0,9622.0,9249872.0,7679170.0,10537947.0,19815971.0,114659798.0,161956662.0,-10277259.0,186237348.0,547621043.0,877758362.0,1425379405.0,16734483.0,,114659798.0,2554141.0,,1269690.0,42995827.0,,,314467198.0,-274678099.0,5939179.0,155501.0,374795.0,1574151962.0,,,15510867.0,6697665.0,4413392.0,77233033.0,,,48520789.0,,139824247.0,139824247.0,1762496998.0,1402524887.0,7963966.0,,446676.0,,-1666121.0,1409269408.0,,,,317868458.0,317868458.0,1727137866.0,35359132.0,35359132.0,1762496998.0,,4830074.0,14080959.0,,1121425.0,0.2372,18309794.0,3804805.0,604232164.0,984412534.0,1588644698.0,1241444187.0,347200511.0,276616460.0,70584051.0,7820833.0,78404884.0,,78404884.0,0.130658,37581441.0,358642144.0,,,2022,1.0,1,2.0,20180301.0,17.0,31.0,U,16974.0,N,427.0,,3.0,0.2032947785609682,0.22582018607685747,1.1169986044286573,0.9799380469639812,4.221887341509042,0.260646113374611,0.10824131822778336,0.056583424931501924,0.2342857142857143,0,0,0.0,False,0
764987,390151,THE CHAMBERSBURG HOSPITAL,112 NORTH 7TH ST.,CHAMBERSBURG,PA,17201,FRANKLIN,16540.0,U,STH,1,2,2022-07-01,2023-06-30,1488.02,1.68,,17485.0,974.0,51195.0,234.0,85410.0,,3653.0,283.0,10752.0,274.0,,16465.0,974.0,44188.0,203.0,74095.0,,3653.0,283.0,10752.0,4517949.0,20432671.0,10234802.0,40277808.0,122209488.0,290160418.0,15892912.0,360949583.0,501148830.0,806760448.0,1307909278.0,34884039.0,,122209488.0,27764645.0,,,10903581.0,,,51782461.0,,3901551.0,913039.0,,68245263.0,6350063.0,6104620.0,201941614.0,1966737.0,8925609.0,66766843.0,,,105311609.0,328404942.0,68983.0,335067690.0,508624562.0,9293642.0,11074925.0,,,,15081047.0,35490155.0,64351.0,138404116.0,,22991003.0,161459470.0,196949625.0,311674937.0,311674937.0,508624562.0,,9688107.0,32462982.0,,865152.0,0.0821,29648100.0,102807.0,501932789.0,812802852.0,1314735641.0,879667160.0,435068481.0,412369906.0,22698575.0,38364283.0,61062858.0,,61062858.0,0.275974,28759559.0,221938546.0,767862.0,2580101.0,2022,1.0,1,0.0,,42.0,55.0,U,16540.0,Y,229.0,,3.0,0.05217241880594885,0.140352290884524,1.92293505057952,0.3872200434551566,4.761439732142857,0.6124902793563438,0.06610352221768968,0.02835521214606861,0.007336244541484716,0,0,0.0,False,0
739108,342021,CONTINUECARE HOSPITAL AT UNIVERSITY,8800 NORTH TRYON STREET  4TH FLOOR,CHARLOTTE,NC,28262-3300,MECKLENBURG,16740.0,U,LTCH,2,2,2020-07-01,2021-06-30,50.6,,,2556.0,42.0,5379.0,17.0,6205.0,,91.0,2.0,177.0,17.0,,2556.0,42.0,5379.0,17.0,6205.0,,91.0,2.0,177.0,0.0,0.0,0.0,0.0,4021316.0,5096161.0,127852.0,8468936.0,34166575.0,5481.0,34172056.0,,,,,,,3610386.0,,,2578390.0,-1186346.0,33359.0,147487.0,20710.0,5203986.0,,,,289749.0,,864919.0,,,472338.0,,,,5676324.0,3706518.0,,405626.0,,,958051.0,2179806.0,,,,7657474.0,7657474.0,9837280.0,-4160956.0,-4160956.0,5676324.0,,,,,,,,,34172056.0,0.0,34172056.0,25332585.0,8839471.0,9117477.0,-278006.0,199375.0,-78631.0,,-78631.0,,,,,,2020,2.0,1,0.0,,37.0,119.0,U,16740.0,Y,35.0,,3.0,-0.031450524584559415,-0.008895441819991265,2.3873619945995195,1.7330370852685646,30.389830508474578,0.4210567514677104,,0.0,,0,1,1.0,False,0
713973,340040,PITT COUNTY MEMORIAL HOSPITAL,2100 STANTONSBURG ROAD,GREENVILLE,NC,27834-2818,PITT,24780.0,U,STH,1,2,2018-10-01,2019-09-30,5862.0,325.02,,96604.0,59455.0,253419.0,847.0,309155.0,,15111.0,9884.0,40664.0,974.0,,84611.0,41871.0,200224.0,662.0,241630.0,,15111.0,9884.0,40664.0,57927062.0,76695288.0,81571280.0,82149538.0,367963303.0,826622613.0,68052523.0,994963177.0,2244112178.0,1044587489.0,3288699667.0,104308568.0,,367963303.0,30539400.0,,5202944.0,10533787.0,,,531001418.0,-313164206.0,30145664.0,6501781.0,683821049.0,1079024519.0,32100903.0,14128570.0,693790311.0,,,429298644.0,,,454618837.0,19691029.0,66395035.0,86086064.0,1619729420.0,41177794.0,76801118.0,2962019.0,,,18198056.0,139138987.0,,,,200063126.0,200063126.0,339202113.0,1280527307.0,1280527307.0,1619729420.0,,,167162458.0,,9010057.0,0.2156,46764889.0,20247386.0,2243684638.0,1045046584.0,3288731222.0,2074130478.0,1214600744.0,1194585916.0,20014828.0,87384226.0,107399054.0,,107399054.0,0.30254,260046897.0,604593653.0,1218794.0,5939882.0,2019,1.0,1,2.0,,37.0,147.0,U,24780.0,N,909.0,,3.0,0.016478524403077427,0.08842333954638183,7.75501203699291,0.20941899851396167,6.232023411371237,0.7638048736380487,0.21410072263219362,0.08198422000495803,0.3575577557755775,0,0,0.0,False,0
745668,103034,SEA PINES REHABILITATION HOSPITAL  A,101 EAST FLORIDA AVENUE,MELBOURNE,FL,32901,BREVARD,37340.0,U,RH,5,5,2019-01-01,2019-12-31,203.49,,,17032.0,38.0,21814.0,90.0,32850.0,,1319.0,3.0,1653.0,90.0,,17032.0,38.0,21814.0,90.0,32850.0,,1319.0,3.0,1653.0,0.0,0.0,0.0,0.0,13059939.0,11001713.0,1371519.0,23499922.0,43915753.0,17704.0,43933457.0,2981383.0,,13059939.0,260732.0,,,3272074.0,,,5575619.0,-974621.0,118876.0,40775.0,,8032723.0,3546990.0,,19724686.0,,,4992983.0,,,11079697.0,,3142245.0,3142245.0,22254665.0,219838.0,1052287.0,,,,2003737.0,3275862.0,,,,5447990.0,5447990.0,8723852.0,13530813.0,13530813.0,22254665.0,,,,,,,,,43915278.0,17704.0,43932982.0,13251334.0,30681648.0,24061652.0,6619996.0,76418.0,6696414.0,,6696414.0,,,,,,2019,5.0,1,6.0,,12.0,9.0,U,37340.0,N,90.0,,3.0,0.21576402936374214,0.21825470391942442,2.452094441096725,0.39200104787018814,13.196612220205687,0.6640487062404871,,0.0,,0,0,0.0,False,0
